name,screen_name,time_zone,location,verified,lang,description,description_en,created_at,favourites_count,followers_count,friends_count,statuses_count,listed_count,isBot
Betty Liu,BettyWLiu,Eastern Time (US & Canada),New York City,TRUE,en,Anchor on Bloomberg TV. Founder and CEO of @ThisRadiates. Author of Work Smarts 👓,Anchor on Bloomberg TV. Founder and CEO of @ThisRadiates. Author of Work Smarts 👓,Wed Feb 03 11:48:36 +0000 2010,5645,53622,3625,8125,1267,0
Carol Zimmermann,carolmaczim,Eastern Time (US & Canada),"Washington, D.C.",TRUE,en,"@CatholicNewsSvc reporter covering education, Supreme Court, health & features. Married to @CathStandard editor. Mom of three plus a dog.","@CatholicNewsSvc reporter covering education, Supreme Court, health & features. Married to @CathStandard editor. Mom of three plus a dog.",Wed Oct 14 14:55:47 +0000 2009,1181,2347,1145,4459,85,0
robnorman,robnorman,Quito,New York,TRUE,en,a musing media man who understands the importance of a space bar,a musing media man who understands the importance of a space bar,Tue May 13 18:15:23 +0000 2008,290,7942,467,7216,281,0
MireiaCarrillo*Mivic,MireiaCarrillo,Madrid,"de Bcn/Spain, now in Miami/Usa",TRUE,es,BusinessWoman • TV & Digital Executive Producer & Creator • TALENT • CEO @TimeWorkstv @DaleHispano @DaleRadios,BusinessWoman • TV & Digital Executive Producer & Creator • TALENT • CEO @TimeWorkstv @DaleHispano @DaleRadios,Mon Mar 23 13:37:46 +0000 2009,3751,6029,1478,14239,115,0
Publimetro,PublimetroChile,Santiago,"Santiago, Chile",TRUE,es,El diario gratuito más leído en Chile #YoLeoPublimetro,Most popular free newspaper in Chile #YoLeoPublimetro,Mon Jul 06 04:36:46 +0000 2009,1281,888629,12181,1008692,4011,0
WOOD TV8,WOODTV,Eastern Time (US & Canada),"Grand Rapids, Mich.",TRUE,en,Follow us for the latest breaking news and weather conditions in West Michigan. Official account of WOOD TV8.,Follow us for the latest breaking news and weather conditions in West Michigan. Official account of WOOD TV8.,Fri May 09 12:32:54 +0000 2008,212,131962,233,110298,993,0
SalenaZito,SalenaZito,Mid-Atlantic,"Main Street, USA",TRUE,en,The Great Revolt https://t.co/izFfrqjAwL @nypost @dcexaminer reporter @cnn contributor                                           @harvardIOP Main Street project,The Great Revolt https://t.co/izFfrqjAwL @nypost @dcexaminer reporter @cnn contributor                                           @harvardIOP Main Street project,Tue Sep 02 18:59:39 +0000 2008,44058,49565,6849,181905,1415,0
CBS 6 Albany - WRGB,CBS6Albany,Eastern Time (US & Canada),"Albany, New York",TRUE,en,"Bringing you news, weather and sports in the Albany region.","Bringing you news, weather and sports in the Albany region.",Wed Jan 14 18:44:15 +0000 2009,889,98053,1077,121144,832,0
99.5 The Mountain,995themountain,Pacific Time (US & Canada),#Denver #Colorado #ClassicRock,TRUE,en,"Featuring Mike Casey & Allie Hartwick, Cathy Taylor, Dan Hardee and The G-Man. Catch The Mountain 180 9-Noon every weekday.","Featuring Mike Casey & Allie Hartwick, Cathy Taylor, Dan Hardee and The G-Man. Catch The Mountain 180 9-Noon every weekday.",Thu Dec 30 16:54:50 +0000 2010,1597,1999,2049,23283,65,0
WAFBweather,WAFBweather,,"Baton Rouge, LA",TRUE,en,"Jay, Diane, Steve & Jeff will keep you up to date on any storms, tropical weather, winter weather or anything else you need to know about headed our way!","Jay, Diane, Steve & Jeff will keep you up to date on any storms, tropical weather, winter weather or anything else you need to know about headed our way!",Wed Feb 02 15:58:28 +0000 2011,109,7975,263,15721,103,0
L. Joy Williams,ljoywilliams,Eastern Time (US & Canada),"Brooklyn, NY",TRUE,en,Political Strategist * President of @BrooklynNAACP * Creator & Host of @SundayCivics * Press/Bookings: info@ljwstrategies.com,Political Strategist * President of @BrooklynNAACP * Creator & Host of @SundayCivics * Press/Bookings: info@ljwstrategies.com,Mon Nov 24 02:24:08 +0000 2008,1951,24062,3349,72999,620,0
Nitza Soledad Perez,NitzaSoledad,Eastern Time (US & Canada),"Miami, Florida",TRUE,en,"Proud Puerto Rican, crazy traveler, beach lover, news junkie, Miami Correspondent, CGTN (former CCTV)","Proud Puerto Rican, crazy traveler, beach lover, news junkie, Miami Correspondent, CGTN (former CCTV)",Fri Aug 20 22:40:58 +0000 2010,438,1196,764,1329,27,0
Sexenio Puebla,SexenioPUE,Central America,México,TRUE,es,Llevamos a las manos de los líderes poblanos la información que determina el rumbo del estado.,We poblano hands of leaders the information that determines the direction of the state.,Mon Sep 27 21:56:27 +0000 2010,1583,252667,1672,190557,618,0
En Portada (TVE),enportada_tve,,,TRUE,es,Contamos lo que pasa más allá de nuestras fronteras. Y así llevamos más de 30 años.,We what happens beyond our borders. And so we have more than 30 years.,Wed Sep 21 09:25:54 +0000 2011,1305,11996,438,1641,226,0
El Confidencial,elconfidencial,Madrid,moderador(@)elconfidencial.com,TRUE,es,El diario de los lectores influyentes como tú. Más noticias en https://t.co/AROvBKZ8M0.,The influential newspaper readers like you. More news in https://t.co/AROvBKZ8M0.,Fri Nov 07 10:14:52 +0000 2008,0,746104,175,168827,10844,0
Steven Crowder,scrowder,Central Time (US & Canada),Ghostlike,TRUE,en,https://t.co/9eaGVF7F1Q for podcasts articles and videos. Join #MugClub for daily show.,https://t.co/9eaGVF7F1Q for podcasts articles and videos. Join #MugClub for daily show.,Fri Jan 16 23:00:21 +0000 2009,462,599890,2872,51167,4755,0
Grambling State Univ,Grambling1901,Central Time (US & Canada),"Grambling, Louisiana",TRUE,und,"Official Twitter Site for Grambling State University. Academic Excellence, Legendary Greats, World Famed Tiger Marching Band and HBCU National Football Champs!","Official Twitter Site for Grambling State University. Academic Excellence, Legendary Greats, World Famed Tiger Marching Band and HBCU National Football Champs!",Wed Jul 06 21:42:10 +0000 2011,1953,10664,601,6125,93,0
Helio Gurovitz,gurovitz,Brasilia,"São Paulo, Brasil",TRUE,pt,"Jornalista, colunista da revista Época, do portal G1 e do jornal O Estado de S.Paulo","Journalist, columnist season magazine, portal G1 and the newspaper O Estado de S. Paulo",Sat Apr 04 11:54:14 +0000 2009,13687,10521,372,9419,132,0
michelle visage,michellevisage,Pacific Time (US & Canada),over the rainbow,TRUE,en,"RuPaul's Drag Race, Ireland's Got Talent judge, singer, actress, smart ass. ALL BUSINESS INQUIRIES 🇺🇸🇬🇧🇮🇪: HouseofVisage@gmail.com https://t.co/d6AvDspDCR","RuPaul's Drag Race, Ireland's Got Talent judge, singer, actress, smart ass. ALL BUSINESS INQUIRIES 🇺🇸🇬🇧🇮🇪: HouseofVisage@gmail.com https://t.co/d6AvDspDCR",Mon Sep 22 11:19:54 +0000 2008,1330,435237,1822,116831,1312,0
Les Echos,LesEchos,Paris,Paris,TRUE,fr,"L'actualité économique, financière et boursière française et internationale.","The current economic, financial and French and international market.",Wed Nov 25 17:01:01 +0000 2009,306,1158210,505,314955,7481,0
Sam Ro,bySamRo,Eastern Time (US & Canada),"New York, NY",TRUE,en,Managing Editor of @YahooFinance. Making business news great again.,Managing Editor of @YahooFinance. Making business news great again.,Sun Jan 16 16:41:35 +0000 2011,4119,31049,2551,77224,1120,0
Bibb County Schools,BibbSchools,Eastern Time (US & Canada),"Macon, GA",TRUE,en,Our vision is that each student demonstrates strength of character and is college or career ready. #VictoryInProgress,Our vision is that each student demonstrates strength of character and is college or career ready. #VictoryInProgress,Thu Aug 27 13:34:41 +0000 2009,5392,3576,610,10044,76,0
Brandon Pope TV,BpopeTV,Indiana (East),OH⏩CHI⏩WAKANDA,TRUE,en,Reporter/Anchor @WCIU Chicago | @thejamtvshow | Speaker | @BBBSA mentor | @NABJCC + @bsujourn board member | @BSUCCIM alum | Ravenclaw | Buckeye | RTs ≠ cosign,Reporter/Anchor @WCIU Chicago | @thejamtvshow | Speaker | @BBBSA mentor | @NABJCC + @bsujourn board member | @BSUCCIM alum | Ravenclaw | Buckeye | RTs ≠ cosign,Tue Mar 31 21:17:10 +0000 2009,47453,8700,4040,100284,156,0
beIN SPORTS,beinsports_FR,Paris,France,TRUE,fr,"beIN SPORTS, le plus grand des spectacles. Découvrez comment vous abonner sur notre site web","beIN SPORT, the largest shows. Find out how to subscribe on our website",Wed May 02 14:16:08 +0000 2012,148,1339973,3208,99132,2395,0
Dale Russell,DaleRussellFox5,Eastern Time (US & Canada),"Atlanta, GA",TRUE,en,"@Fox5Atlanta Senior I-TEAM Reporter. I Tweet, therefore I am. See any muck? Write, I'll rake. Tips/documents/emails to dale.russell@foxtv.com or 404-898-0109","@Fox5Atlanta Senior I-TEAM Reporter. I Tweet, therefore I am. See any muck? Write, I'll rake. Tips/documents/emails to dale.russell@foxtv.com or 404-898-0109",Mon Apr 20 13:33:18 +0000 2009,3480,5918,3002,19760,214,0
Green Party of NJ,GreenPartyofNJ,Mid-Atlantic,All of New Jersey,TRUE,en,"The Green Party of New Jersey is the party of peace, justice, environment, and grassroots democracy. Think Green, Live Green, Vote Green!","The Green Party of New Jersey is the party of peace, justice, environment, and grassroots democracy. Think Green, Live Green, Vote Green!",Thu Feb 25 17:05:13 +0000 2010,1476,4501,3797,13123,96,0
Danyel Smith,danamo,Pacific Time (US & Canada),NYC | DC | Bristol,TRUE,en,"senior editor, culture @ESPN’s @TheUndefeated | multimedia storyteller | author | producer | IG: danamo | @xHRDCVRx | Stanford | https://t.co/c6anXDcYqI |","senior editor, culture @ESPN’s @TheUndefeated | multimedia storyteller | author | producer | IG: danamo | @xHRDCVRx | Stanford | https://t.co/c6anXDcYqI |",Tue Aug 19 17:42:24 +0000 2008,81287,36940,6072,219183,1205,0
Jonathan Capehart,CapehartJ,Eastern Time (US & Canada),"Washington, DC",TRUE,en,"OPINION Writer, Washington Post. MSNBC Contributor. Check out my podcast ""Cape Up"" https://t.co/Jb5ApPv8Bp Speaking agent: https://t.co/aQ6s0GPs5b","OPINION Writer, Washington Post. MSNBC Contributor. Check out my podcast ""Cape Up"" https://t.co/Jb5ApPv8Bp Speaking agent: https://t.co/aQ6s0GPs5b",Thu Dec 17 16:22:36 +0000 2009,16059,289326,1092,91491,3812,0
nikki baboun,nikkibaboun,Eastern Time (US & Canada),New York City,TRUE,en,"Pop culture + champagne. Marketing at @fusionmedia @fusiontv @trackrecord and @projectearth. Tweets = my opinions, RTs not endorsements.","Pop culture + champagne. Marketing at @fusionmedia @fusiontv @trackrecord and @projectearth. Tweets = my opinions, RTs not endorsements.",Wed Mar 04 00:43:21 +0000 2009,1198,413,1103,2018,21,0
Daniel Paisner,DanielPaisner,,hereabouts,TRUE,en,"Ghostwriter/Author of 60+ books (incl. 16 NYT best-sellers)...'voice' of Daymond, Serena, Denzel, Missy, Whoopi & other one-named celebs https://t.co/4y8WR6KQ6k","Ghostwriter/Author of 60+ books (incl. 16 NYT best-sellers)...'voice' of Daymond, Serena, Denzel, Missy, Whoopi & other one-named celebs https://t.co/4y8WR6KQ6k",Fri Dec 09 18:36:24 +0000 2011,1887,1202,1023,15540,100,0
"Ty, Kelly & Chuck",TyKellyandChuck,Pacific Time (US & Canada),"Nashville, TN",TRUE,en,"We're Ty, Kelly and Chuck - Thanks for Listening every Morning! @TyBentli, @theKellyFord & @ChuckWicksMusic.","We're Ty, Kelly and Chuck - Thanks for Listening every Morning! @TyBentli, @theKellyFord & @ChuckWicksMusic.",Thu May 23 20:38:44 +0000 2013,43159,25231,1350,23012,266,0
Jan Carabeo,JanCarabeoCBS3,Eastern Time (US & Canada),Philadelphia,TRUE,en,@CBSPhilly News Reporter. Weekend Morning Anchor. Maryland native but call #Philly home. #CBS3. #UMD. #Terp. Tweets are my own.,@CBSPhilly News Reporter. Weekend Morning Anchor. Maryland native but call #Philly home. #CBS3. #UMD. #Terp. Tweets are my own.,Thu Oct 06 19:39:59 +0000 2011,10722,4793,960,8090,109,0
VIRGIN Radio Calgary,VirginRadioYYC,Mountain Time (US & Canada),Best city in the world... YYC,TRUE,en,98.5 VIRGIN Radio is Calgary’s #1 Hit Music Station AND Home of the MOST Commercial Free Hit Music!,98.5 VIRGIN Radio is Calgary’s #1 Hit Music Station AND Home of the MOST Commercial Free Hit Music!,Tue Jun 29 23:53:26 +0000 2010,11061,17948,5129,61497,278,0
Adam Gold,AGoldFan,Central Time (US & Canada),"iPhone: 0.000000,0.000000",TRUE,en,"Radio host/Adam and Joe Show on 99.9 The Fan in Raleigh. There's some truth in every bit of sarcasm, so please dont take it personally. Yes, thats an Emmy Award","Radio host/Adam and Joe Show on 99.9 The Fan in Raleigh. There's some truth in every bit of sarcasm, so please dont take it personally. Yes, thats an Emmy Award",Wed Aug 05 10:30:33 +0000 2009,66,13840,778,103190,330,0
Z100 New York,Z100NewYork,Pacific Time (US & Canada),"New York, NY.",TRUE,en,@ElvisDuranShow 6a-10a @RyanSeacrest 10a-2p @RadioMoBounce 2p-6p @MaxwellsHouse 6p-10p @BradyOnAir 10p-2a @Shelley_Rome 2a-5a @PhiLLKross @TheEricaAmerica Wknds,@ElvisDuranShow 6a-10a @RyanSeacrest 10a-2p @RadioMoBounce 2p-6p @MaxwellsHouse 6p-10p @BradyOnAir 10p-2a @Shelley_Rome 2a-5a @PhiLLKross @TheEricaAmerica Wknds,Tue Feb 03 05:06:40 +0000 2009,9458,397298,792,84817,2392,0
Khary Penebaker,kharyp,Central Time (US & Canada),"Waukesha, WI",TRUE,en,#DNC Member #GunViolence Survivor @PPAWI Board Member @Everytown Survivor Fellow Treasurer DNC Black Caucus 🌊 @MomsDemand #NeverAgain #ThrowThemOut #BoycottNRA,#DNC Member #GunViolence Survivor @PPAWI Board Member @Everytown Survivor Fellow Treasurer DNC Black Caucus 🌊 @MomsDemand #NeverAgain #ThrowThemOut #BoycottNRA,Fri Jul 03 21:24:55 +0000 2009,83307,78962,48733,420414,1139,0
Xavi Martínez,xavimartinez,Madrid,Madrid,TRUE,es,❌ @Los40: Director y presentador de @LoMas_40 // @Mediasetcom: Juez en @FactorXtv // Sé el cambio #real que quieres ver en el mundo,❌ @ Los40: Director and presenter LoMas_40 @ // @Mediasetcom: // @FactorXtv Judge #real Be the change you want to see in the world,Thu Aug 28 22:11:25 +0000 2008,38709,205472,2245,50893,752,0
Good Morning America,GMA,Eastern Time (US & Canada),"New York, NY",TRUE,en,Put some GOOD in your morning! Watch GMA every morning at 7am and around the clock at https://t.co/zWNTWbVVGq!,Put some GOOD in your morning! Watch GMA every morning at 7am and around the clock at https://t.co/zWNTWbVVGq!,Tue Mar 03 17:40:29 +0000 2009,6465,3804594,2427,182095,16266,0
Jaclyn DeAugustino,JaclynDeAug,,"Napping in Cincinnati, OH",TRUE,en,Morning Traffic Anchor/Reporter for @WCPO | Brunch planner by Noon | NFL Cheerleader for the Cincinnati Bengals | @UF Gator |,Morning Traffic Anchor/Reporter for @WCPO | Brunch planner by Noon | NFL Cheerleader for the Cincinnati Bengals | @UF Gator |,Tue Oct 14 14:52:34 +0000 2014,11376,3563,620,10867,59,0
Ashley Soley-Cerro,ashleydaysc,Eastern Time (US & Canada),Los Angeles,TRUE,en,Former Angeleno now living in New York & breaking news at @PIX11News. Previously with sister station @KTLA,Former Angeleno now living in New York & breaking news at @PIX11News. Previously with sister station @KTLA,Sun Mar 06 07:12:41 +0000 2011,1539,1118,2049,5488,37,0
Western Carolina,WCU,Eastern Time (US & Canada),"Cullowhee, NC",TRUE,und,Retweets not endorsements. Our WCU story is #wcuinspires #wcuinnovates #wcuexplores #wcuserves. Come for a visit. Stay for a lifetime. Top Adventure College,Retweets not endorsements. Our WCU story is #wcuinspires #wcuinnovates #wcuexplores #wcuserves. Come for a visit. Stay for a lifetime. Top Adventure College,Thu Sep 18 16:57:35 +0000 2008,8633,16503,658,16033,166,0
BarbaraLeeFamilyFoundation,BLFF_org,Eastern Time (US & Canada),"Cambridge, MA",TRUE,en,Advancing women’s equality and representation in American politics. Studying and publishing research on every woman's gubernatorial race since 1998.,Advancing women’s equality and representation in American politics. Studying and publishing research on every woman's gubernatorial race since 1998.,Fri Mar 20 13:43:55 +0000 2015,468,2820,278,3597,70,0
FOX 7 Austin,fox7austin,Central Time (US & Canada),"Austin, TX",TRUE,en,"Get the Austin Edge 24/7 from FOX 7 NEWS on air, online & on Facebook. Click here to LIKE us, https://t.co/DXIOxyEXvr.","Get the Austin Edge 24/7 from FOX 7 NEWS on air, online & on Facebook. Click here to LIKE us, https://t.co/DXIOxyEXvr.",Thu Aug 14 13:47:58 +0000 2008,8071,120934,720,137128,1724,0
DeKalb County News,DeKalbNewsNow,Atlantic Time (Canada),"DeKalb County, GA",TRUE,en,"Covering #DeKalb from #Decatur to #StoneMountain, #Dunwoody to #Lithonia and beyond. Contact DeKalb reporters @markniesse, @JoshuaWSharpe @tiareports","Covering #DeKalb from #Decatur to #StoneMountain, #Dunwoody to #Lithonia and beyond. Contact DeKalb reporters @markniesse, @JoshuaWSharpe @tiareports",Wed Oct 21 18:58:52 +0000 2009,7,11078,5784,24738,218,0
Boston 25 News,boston25,Eastern Time (US & Canada),"Boston, MA",TRUE,en,Boston 25 News provides complete New England news coverage that matters to you.,Boston 25 News provides complete New England news coverage that matters to you.,Wed Jan 28 17:59:53 +0000 2009,3398,314809,6461,223415,2678,0
Raya El Hassan,rayaelhassan,Baghdad,Beirut,TRUE,en,Former #Lebanese Finance Minister and Chairman of #Tripoli Special #Economic Zone.,Former #Lebanese Finance Minister and Chairman of #Tripoli Special #Economic Zone.,Thu Mar 19 14:34:59 +0000 2009,79,1718,239,116,11,0
Saeed Ahmed,saeed_ahmed,Eastern Time (US & Canada),"Atlanta, GA",TRUE,en,"Sr. editor for trending content and creative storytelling. Create content that sings, is socially shared and sparks conversation. saeed.ahmed(at)https://t.co/ZO4w7p9Ete","Sr. editor for trending content and creative storytelling. Create content that sings, is socially shared and sparks conversation. saeed.ahmed(at)https://t.co/ZO4w7p9Ete",Fri Jan 23 22:07:38 +0000 2009,124,23416,1704,8621,633,0
Maria Elena Salinas,MariaESalinas,Central Time (US & Canada),The World,TRUE,es,"Julia and Gaby’s mom, independent journalist, Host ""The Real Story"" on @DiscoveryID proud Mexican-American https://t.co/hspy3kUTye…","Julia and Gaby’s mom, independent journalist, Host ""The Real Story"" on @DiscoveryID proud Mexican-American https://t.co/hspy3kUTye…",Wed Oct 07 19:08:48 +0000 2009,1314,404461,1845,52490,1685,0
Eyewitness News,ABC7NY,Eastern Time (US & Canada),New York City,TRUE,en,"New York's #1 news, Channel 7 Eyewitness News. WABC-TV. Comments & photos shared here or using #abc7NY could be used on any ABC platforms.","New York's #1 news, Channel 7 Eyewitness News. WABC-TV. Comments & photos shared here or using #abc7NY could be used on any ABC platforms.",Mon Oct 13 02:33:46 +0000 2008,6611,653853,31631,210366,3627,0
Tiffany Hayden,haydentiff,Eastern Time (US & Canada),Detroit,TRUE,en,Elliptic curves & weapons of math destruction. I lead from the front. Forking @StellarOrg to help Flint. #H2O #XRP #BTC #BCH Community Manager at @Edgesecure,Elliptic curves & weapons of math destruction. I lead from the front. Forking @StellarOrg to help Flint. #H2O #XRP #BTC #BCH Community Manager at @Edgesecure,Fri Jul 25 19:40:07 +0000 2014,65985,64692,12104,59716,1700,0
Stephanie Allen,stephanieallenn,Eastern Time (US & Canada),"Las Vegas, NV",TRUE,en,"Former @orlandosentinel reporter now living the corporate life in Vegas. Michigan native. @GVSU alum. I like nature, cats and traveling. Tweets are all mine.","Former @orlandosentinel reporter now living the corporate life in Vegas. Michigan native. @GVSU alum. I like nature, cats and traveling. Tweets are all mine.",Fri Mar 06 01:55:54 +0000 2009,830,1714,1233,7014,94,0
Dan Spehler,DanSpehler,Eastern Time (US & Canada),"Indianapolis, IN",TRUE,en,"5/6/7/10p Anchor WXIN-TV, host of #INfocus every Sun AM on @FOX59 & @CBS4Indy. Proud father, husband, sports fan. Covering news/politics from IN/OH for 15+ yrs","5/6/7/10p Anchor WXIN-TV, host of #INfocus every Sun AM on @FOX59 & @CBS4Indy. Proud father, husband, sports fan. Covering news/politics from IN/OH for 15+ yrs",Fri Apr 24 12:04:04 +0000 2009,3635,4175,2029,22573,155,0
Hollywood Reporter,THR,Pacific Time (US & Canada),"Hollywood, CA",TRUE,en,"The Hollywood Reporter is the premier destination & most widely trusted resource for entertainment news, reviews, videos & more.","The Hollywood Reporter is the premier destination & most widely trusted resource for entertainment news, reviews, videos & more.",Mon Nov 17 18:10:33 +0000 2008,755,2881894,2783,320640,21097,0
Michael Quander WUSA,MikeQReports,Eastern Time (US & Canada),"Washington, DC",TRUE,en,A storytelling kind of reporter at @WUSA9 | Previously @3onyourside @abc2news | #MorganState Alum | Dog dad | #DC native | They call me Q | mquander@wusa9.com,A storytelling kind of reporter at @WUSA9 | Previously @3onyourside @abc2news | #MorganState Alum | Dog dad | #DC native | They call me Q | mquander@wusa9.com,Mon Sep 14 23:51:05 +0000 2009,1717,2990,2577,24629,98,0
Eric Halvorson,Eric_Halvorson,Quito,Indianapolis,TRUE,en,Manager of Public Affairs for the Central Division @Kroger. (The TV makeup has been put away.),Manager of Public Affairs for the Central Division @Kroger. (The TV makeup has been put away.),Tue Jun 09 01:09:28 +0000 2009,1954,7695,1023,17415,185,0
Charlotte Clymer🏳️‍🌈,cmclymer,Eastern Time (US & Canada),"Washington, D.C.",TRUE,en,@HRC Comms Team. Writer. Proudly Queer. Army Vet. Texan. @Georgetown Alum. Pronouns: She/Her. Inquiries: cmclymer@gmail.com | https://t.co/Pz7zrJrydo,@HRC Comms Team. Writer. Proudly Queer. Army Vet. Texan. @Georgetown Alum. Pronouns: She/Her. Inquiries: cmclymer@gmail.com | https://t.co/Pz7zrJrydo,Tue Aug 19 18:00:06 +0000 2008,87055,143088,2785,93973,1930,0
The Kansas City Star,KCStar,Central Time (US & Canada),"Kansas City, Mo.",TRUE,en,Breaking the news in Kansas City since 1880.,Breaking the news in Kansas City since 1880.,Fri May 30 16:08:18 +0000 2008,1475,276821,835,198774,2691,0
philipp meier 👊,metamythos,Tehran,ZRH,TRUE,de,Community Developer @swissinfo_en | NightCityCouncil Zurich | Member of Motherland-Party-Crew | ex-@watson_news | semiprivat & partpublic | Snapchat: metakong,Community Developer @swissinfo_en | NightCityCouncil Zurich | Member of Motherland-Party-Crew | ex-@watson_news | semiprivat & partpublic | Snapchat: metakong,Thu Dec 04 16:15:12 +0000 2008,18750,3192,999,41749,251,0
Derrick Rose,WHAS11DRose,Eastern Time (US & Canada),"Louisville, KY",TRUE,en,#Storyteller | Journalist | #Murrow Award Winner | Open relationship w/words/pics since @TowsonU & @wbaltv11 | Proverbs 27:17 | Sucker for cleverly used GIFs,#Storyteller | Journalist | #Murrow Award Winner | Open relationship w/words/pics since @TowsonU & @wbaltv11 | Proverbs 27:17 | Sucker for cleverly used GIFs,Thu Jan 28 05:00:33 +0000 2010,8884,8336,6212,79653,165,0
HOT 96.9 Boston 📻🎤,HOT969Boston,Atlantic Time (Canada),"Boston, MA",TRUE,en,"Boston's #1 for Throwbacks and Today's Best Hip Hop and R&B. Home of @getupcrew969, weekdays 6-10am.","Boston's #1 for Throwbacks and Today's Best Hip Hop and R&B. Home of @getupcrew969, weekdays 6-10am.",Thu Jan 03 15:48:26 +0000 2013,5957,14242,7794,42600,104,0
Lucas Waagmeester,NOSWaagmeester,West Central Africa,"Istanbul, Turkije",TRUE,en,correspondent in Turkije voor @NOS en @Nieuwsuur | eerder correspondent in India/Pakistan/Afghanistan (2011-2014) | en Zuidelijk Afrika (2009-2011),correspondent in Turkey for @NOS and @Nieuwsuur | Rather correspondent in India / Pakistan / Afghanistan (2011-2014) | and Southern Africa (2009-2011),Thu Feb 25 10:28:46 +0000 2010,277,13943,560,6032,352,0
Jen Ryall,jennijenni,America/New_York,"New York, NY",TRUE,en,"VP, Digital Content @tegna. Formerly: VP Content Strategy + Senior Editor @mashable + Founding Editor @mashableau + @newscomau + @yahoo7.","VP, Digital Content @tegna. Formerly: VP Content Strategy + Senior Editor @mashable + Founding Editor @mashableau + @newscomau + @yahoo7.",Mon Mar 31 09:59:41 +0000 2008,1493,9375,2628,9929,226,0
NewsON,WatchNewsON,Eastern Time (US & Canada),"Atlanta, GA",TRUE,en,"A nationwide lineup of local news video from trusted TV stations. Watch live news, previous broadcasts or clips- On iOS, Android & Roku. Retweets ≠ endorsements","A nationwide lineup of local news video from trusted TV stations. Watch live news, previous broadcasts or clips- On iOS, Android & Roku. Retweets ≠ endorsements",Mon Jun 08 14:21:52 +0000 2015,1527,1980,1075,7541,91,0
Shira Abel,shiraabel,Greenland,"Palo Alto, California",TRUE,en,CEO of https://t.co/KMa2Z30Rzp - We develop mindshare. Award winning #marketing #branding agency that loves #SaaS & #tech. Host of the SaaS Insider podcast.,CEO of https://t.co/KMa2Z30Rzp - We develop mindshare. Award winning #marketing #branding agency that loves #SaaS & #tech. Host of the SaaS Insider podcast.,Sat Nov 01 07:07:23 +0000 2008,4871,18105,2738,65347,682,0
Arif Hasan,ArifHasanNFL,Central Time (US & Canada),,TRUE,en,"I cover the Vikings for @zonecoveragemn

- arifmhasan@gmail.com -

Political takes: @WideLeftPodcast","I cover the Vikings for @zonecoveragemn

- arifmhasan@gmail.com -

Political takes: @WideLeftPodcast",Thu Jun 21 15:37:46 +0000 2012,71001,20874,1734,201989,860,0
The Proud Boys,ProudBoysUSA,,The Modern World,TRUE,en,"I am a Western Chauvinist and I Refuse to Apologize for Creating the Modern World. The West is the Best!
#POYB #UHURU #ProudBoys @proudboysgirls #POYG","I am a Western Chauvinist and I Refuse to Apologize for Creating the Modern World. The West is the Best!
#POYB #UHURU #ProudBoys @proudboysgirls #POYG",Tue Aug 02 12:06:01 +0000 2016,3923,22910,1988,9614,162,0
Melissa MarkViverito,MMViverito,Central Time (US & Canada),"El Barrio, South Bronx, NYC",TRUE,en,"Senior Advisor to @LatinoVictoryus, former Speaker @NYCCouncil 2014-2017 | Represented District 8 (El Barrio/East Harlem and the South Bronx) 2006-2017","Senior Advisor to @LatinoVictoryus, former Speaker @NYCCouncil 2014-2017 | Represented District 8 (El Barrio/East Harlem and the South Bronx) 2006-2017",Wed Dec 02 03:42:28 +0000 2009,6723,34714,3781,34090,862,0
Genaro Lozano,genarolozano,Mexico City,Por aquí y por allá.,TRUE,es,Politólogo e Internacionalista. Escribo en @reformacom. Conduzco @SinFiltroTV #ForoGlobal Enseño @Ibero_Mx. Fotógrafo. Conferencias genarolozano@gmail.com,Political scientist and internationalist. I write in @reformacom. I teach @Ibero_Mx #ForoGlobal @SinFiltroTV drive. Photographer. Conferences genarolozano@gmail.com,Sun Jan 04 18:10:08 +0000 2009,14932,197417,9780,127651,1377,0
La Stampa,LaStampa,Rome,"Torino, Piemonte",TRUE,it,"Notizie, inchieste, analisi e breaking news. RT dei nostri giornalisti e lettori","News, surveys, analysis and breaking news. RT of our journalists and readers",Tue Apr 07 09:31:23 +0000 2009,1270,1005722,338,325280,6140,0
The Globe and Mail,globeandmail,Eastern Time (US & Canada),Canada,TRUE,en,Canada's national news organization.  Customer service: @GlobeHelp Share info with us anonymously: https://t.co/mDkX2boooF Ask us anything: #AskTheGlobe,Canada's national news organization.  Customer service: @GlobeHelp Share info with us anonymously: https://t.co/mDkX2boooF Ask us anything: #AskTheGlobe,Sat Sep 08 00:46:45 +0000 2007,776,1722675,557,423439,14010,0
Christopher D. Clegg,chrisdclegg,Amsterdam,"London, England",TRUE,en,"I still watch cartoons in my 30s.  I also make things pretty, put things on stage, and dwell upon a canal boat with a bunny.","I still watch cartoons in my 30s.  I also make things pretty, put things on stage, and dwell upon a canal boat with a bunny.",Fri May 22 17:03:11 +0000 2009,39186,5131,462,82002,103,0
